Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount,Line_Total
OI0000064,ORD000025,PROD0312,1,35099,10,31589.1
OI0000065,ORD000026,PROD0052,3,26357,20,63256.8
OI0000066,ORD000026,PROD0112,2,23495,0,46990.0
OI0000067,ORD000026,PROD0497,1,40990,20,32792.0
OI0000068,ORD000026,PROD0272,1,5106,15,4340.1
OI0000069,ORD000027,PROD0167,3,31403,5,89498.55
OI0000070,ORD000027,PROD0010,1,8543,10,7688.7
OI0000071,ORD000027,PROD0492,1,16382,5,15562.9
OI0000072,ORD000028,PROD0065,1,8273,0,8273.0
OI0000073,ORD000029,PROD0339,2,48584,5,92309.6
OI0000074,ORD000030,PROD0234,2,12373,0,24746.0
OI0000075,ORD000030,PROD0205,3,30335,15,77354.25
OI0000076,ORD000030,PROD0488,3,46925,10,126697.5
OI0000077,ORD000030,PROD0341,1,9312,10,8380.8
OI0000078,ORD000031,PROD0466,3,20416,5,58185.6
OI0000079,ORD000032,PROD0415,1,37935,10,34141.5
OI0000080,ORD000032,PROD0326,3,28226,20,67742.4
OI0000081,ORD000032,PROD0075,3,4089,0,12267.0
OI0000082,ORD000033,PROD0441,3,27653,5,78811.05
OI0000083,ORD000033,PROD0440,1,24718,20,19774.4
OI0000084,ORD000033,PROD0343,3,7773,15,19821.15
OI0000085,ORD000034,PROD0232,3,46109,5,131410.65
OI0000086,ORD000034,PROD0174,3,44046,15,112317.3
OI0000087,ORD000035,PROD0109,2,34268,10,61682.4
OI0000088,ORD000035,PROD0335,3,36667,15,93500.85
OI0000089,ORD000035,PROD0077,3,20947,10,56556.9
OI0000090,ORD000036,PROD0195,3,5528,0,16584.0
OI0000091,ORD000037,PROD0428,3,43582,0,130746.0
OI0000092,ORD000037,PROD0053,1,24204,15,20573.4
OI0000093,ORD000037,PROD0220,2,11841,5,22497.9
OI0000094,ORD000037,PROD0392,3,26394,20,63345.6
OI0000095,ORD000038,PROD0442,3,39405,15,100482.75
OI0000096,ORD000038,PROD0352,3,25490,5,72646.5
OI0000097,ORD000039,PROD0037,3,26154,15,66692.7
OI0000098,ORD000039,PROD0046,1,971,15,825.35
OI0000099,ORD000040,PROD0171,2,38805,10,69849.0
OI0000100,ORD000040,PROD0080,1,31957,15,27163.45
OI0000101,ORD000041,PROD0209,3,18799,15,47937.45
OI0000102,ORD000042,PROD0420,2,35018,0,70036.0
OI0000103,ORD000043,PROD0216,1,49554,15,42120.9
OI0000104,ORD000044,PROD0357,2,19778,20,31644.8
OI0000105,ORD000044,PROD0337,1,29741,5,28253.95
OI0000106,ORD000044,PROD0117,2,32937,20,52699.2
OI0000107,ORD000044,PROD0240,2,19987,20,31979.2
OI0000108,ORD000045,PROD0156,1,15561,5,14782.95
OI0000109,ORD000045,PROD0192,3,10725,20,25740.0
OI0000110,ORD000045,PROD0400,1,35693,20,28554.4
OI0000111,ORD000045,PROD0410,1,4026,5,3824.7
OI0000112,ORD000046,PROD0022,3,16286,0,48858.0
OI0000113,ORD000046,PROD0009,1,44723,15,38014.55
OI0000114,ORD000046,PROD0233,2,1651,15,2806.7
OI0000115,ORD000047,PROD0335,3,43748,5,124681.8
OI0000116,ORD000047,PROD0059,3,46967,15,119765.85
OI0000117,ORD000048,PROD0306,2,28347,0,56694.0
OI0000118,ORD000048,PROD0055,2,43820,10,78876.0
OI0000119,ORD000048,PROD0249,3,28855,15,73580.25
OI0000120,ORD000049,PROD0102,1,48017,20,38413.6
OI0000121,ORD000049,PROD0220,3,2965,5,8450.25
OI0000122,ORD000049,PROD0083,2,23816,15,40487.2
OI0000123,ORD000050,PROD0419,1,36228,10,32605.2
OI0000124,ORD000050,PROD0251,1,48957,20,39165.6
OI0000125,ORD000050,PROD0357,1,16252,5,15439.4
OI0000126,ORD000050,PROD0087,2,26725,20,42760.0
OI0000127,ORD000051,PROD0119,3,46272,10,124934.4
OI0000128,ORD000051,PROD0247,3,8750,5,24937.5
OI0000129,ORD000052,PROD0097,1,47378,15,40271.3
OI0000130,ORD000052,PROD0327,3,35636,0,106908.0
OI0000131,ORD000053,PROD0410,2,16101,15,27371.7
OI0000132,ORD000053,PROD0205,2,33491,0,66982.0
OI0000133,ORD000054,PROD0371,1,17918,5,17022.1
OI0000134,ORD000055,PROD0180,3,42027,5,119776.95
OI0000135,ORD000055,PROD0359,1,1116,15,948.6
OI0000136,ORD000056,PROD0209,1,31368,15,26662.8
OI0000137,ORD000056,PROD0034,1,5327,10,4794.3
OI0000138,ORD000057,PROD0338,1,2390,15,2031.5
OI0000139,ORD000058,PROD0150,3,9076,15,23143.8
OI0000140,ORD000058,PROD0371,2,23583,0,47166.0
OI0000141,ORD000058,PROD0454,2,46419,10,83554.2
OI0000142,ORD000059,PROD0161,2,28243,15,48013.1
OI0000143,ORD000059,PROD0086,2,7804,5,14827.6
OI0000144,ORD000059,PROD0476,3,40667,5,115900.95
OI0000145,ORD000059,PROD0434,1,29302,10,26371.8
OI0000146,ORD000060,PROD0026,1,38512,5,36586.4
OI0000147,ORD000060,PROD0290,3,36259,5,103338.15
OI0000148,ORD000061,PROD0037,1,42967,10,38670.3
OI0000149,ORD000061,PROD0434,1,42591,0,42591.0
OI0000150,ORD000061,PROD0379,3,16342,15,41672.1
OI0000151,ORD000062,PROD0026,3,28397,10,76671.9
OI0000152,ORD000062,PROD0240,3,45855,0,137565.0
OI0000153,ORD000062,PROD0192,2,31546,15,53628.2
OI0000154,ORD000063,PROD0479,1,15195,15,12915.75
OI0000155,ORD000063,PROD0224,2,44761,10,80569.8
OI0000156,ORD000063,PROD0055,2,7620,0,15240.0
OI0000157,ORD000063,PROD0055,2,28789,5,54699.1
OI0000158,ORD000064,PROD0328,1,22653,20,18122.4
OI0000159,ORD000064,PROD0099,3,47420,0,142260.0
OI0000160,ORD000064,PROD0086,2,827,10,1488.6
OI0000161,ORD000065,PROD0009,3,19515,20,46836.0
OI0000162,ORD000065,PROD0092,3,38879,0,116637.0
OI0000163,ORD000066,PROD0025,2,11145,5,21175.5
OI0000164,ORD000066,PROD0193,3,42902,0,128706.0
OI0000165,ORD000066,PROD0246,2,26884,20,43014.4
OI0000166,ORD000067,PROD0498,3,18279,15,46611.45
OI0000167,ORD000067,PROD0099,3,33681,20,80834.4
OI0000168,ORD000068,PROD0295,3,2571,20,6170.4
OI0000169,ORD000068,PROD0428,1,9814,0,9814.0
OI0000170,ORD000068,PROD0068,1,18024,5,17122.8
OI0000171,ORD000069,PROD0358,1,41248,5,39185.6
OI0000172,ORD000069,PROD0091,3,37750,5,107587.5
OI0000173,ORD000069,PROD0355,2,2098,10,3776.4
OI0000174,ORD000070,PROD0242,1,19998,5,18998.1
OI0000175,ORD000070,PROD0254,3,31346,10,84634.2
OI0000176,ORD000071,PROD0270,2,2725,0,5450.0
OI0000177,ORD000071,PROD0487,3,36686,5,104555.1
OI0000178,ORD000071,PROD0066,1,15152,15,12879.2
OI0000179,ORD000072,PROD0475,3,40091,20,96218.4
OI0000180,ORD000072,PROD0459,3,19607,15,49997.85
OI0000181,ORD000072,PROD0131,2,1221,20,1953.6
OI0000182,ORD000073,PROD0426,2,44080,20,70528.0
OI0000183,ORD000073,PROD0019,1,21649,20,17319.2
OI0000184,ORD000073,PROD0452,3,30776,10,83095.2
OI0000185,ORD000074,PROD0162,1,41964,10,37767.6
OI0000186,ORD000074,PROD0467,3,675,20,1620.0
OI0000187,ORD000075,PROD0140,1,23384,20,18707.2
OI0000188,ORD000076,PROD0320,2,21015,0,42030.0
OI0000189,ORD000076,PROD0469,3,8608,10,23241.6
OI0000190,ORD000076,PROD0496,1,23258,10,20932.2
OI0000191,ORD000076,PROD0490,3,32992,10,89078.4
OI0000192,ORD000077,PROD0345,3,19886,5,56675.1
OI0000193,ORD000077,PROD0301,3,28840,0,86520.0
OI0000194,ORD000077,PROD0416,1,15296,15,13001.6
OI0000195,ORD000078,PROD0345,1,48597,20,38877.6
OI0000196,ORD000079,PROD0286,3,28649,15,73054.95
OI0000197,ORD000080,PROD0428,2,42545,10,76581.0
OI0000198,ORD000081,PROD0230,1,31817,10,28635.3
OI0000199,ORD000081,PROD0388,2,13387,15,22757.9
OI0000200,ORD000082,PROD0459,1,37253,10,33527.7
OI0000201,ORD000082,PROD0341,3,41962,20,100708.8
OI0000202,ORD000082,PROD0284,2,13593,15,23108.1
OI0000203,ORD000083,PROD0074,3,47730,5,136030.5
OI0000204,ORD000084,PROD0393,3,6718,5,19146.3
OI0000205,ORD000085,PROD0421,1,40052,5,38049.4
OI0000206,ORD000085,PROD0476,1,43850,5,41657.5
OI0000207,ORD000085,PROD0037,1,40394,5,38374.3
OI0000208,ORD000085,PROD0482,3,18011,10,48629.7
OI0000209,ORD000086,PROD0390,3,13825,15,35253.75
OI0000210,ORD000086,PROD0129,2,27959,20,44734.4
OI0000211,ORD000087,PROD0163,3,25955,0,77865.0
OI0000212,ORD000087,PROD0012,3,31968,15,81518.4
OI0000213,ORD000088,PROD0124,3,42510,0,127530.0
OI0000214,ORD000089,PROD0365,1,34052,15,28944.2
OI0000215,ORD000089,PROD0124,1,46598,15,39608.3
OI0000216,ORD000090,PROD0069,3,15636,0,46908.0
OI0000217,ORD000090,PROD0238,1,7876,0,7876.0
OI0000218,ORD000091,PROD0384,1,13344,0,13344.0
OI0000219,ORD000091,PROD0488,3,37964,10,102502.8
OI0000220,ORD000092,PROD0103,3,29430,15,75046.5
OI0000221,ORD000092,PROD0299,3,48787,10,131724.9
OI0000222,ORD000092,PROD0337,2,236,10,424.8
OI0000223,ORD000092,PROD0002,2,34683,10,62429.4
OI0000224,ORD000093,PROD0442,2,9433,0,18866.0
OI0000225,ORD000093,PROD0034,2,41673,10,75011.4
OI0000226,ORD000094,PROD0373,3,17420,10,47034.0
OI0000227,ORD000095,PROD0443,1,20077,5,19073.15
OI0000228,ORD000095,PROD0010,1,11652,5,11069.4
OI0000229,ORD000095,PROD0005,1,17381,10,15642.9
OI0000230,ORD000096,PROD0352,2,6991,15,11884.7
OI0000231,ORD000096,PROD0210,2,27807,20,44491.2
OI0000232,ORD000096,PROD0404,3,3317,10,8955.9
OI0000233,ORD000096,PROD0171,1,33120,20,26496.0
OI0000234,ORD000097,PROD0062,2,37655,5,71544.5
OI0000235,ORD000097,PROD0460,2,5220,10,9396.0
OI0000236,ORD000097,PROD0496,1,9377,10,8439.3
OI0000237,ORD000097,PROD0180,2,39879,20,63806.4
OI0000238,ORD000098,PROD0195,1,40586,15,34498.1
OI0000239,ORD000098,PROD0061,1,30639,15,26043.15
OI0000240,ORD000099,PROD0328,2,28801,10,51841.8
OI0000241,ORD000099,PROD0077,1,25895,10,23305.5
OI0000242,ORD000099,PROD0495,1,37659,10,33893.1
OI0000243,ORD000099,PROD0420,3,30402,20,72964.8
OI0000244,ORD000100,PROD0090,3,13536,20,32486.4
OI0000245,ORD000100,PROD0405,3,8858,0,26574.0
OI0000246,ORD000100,PROD0101,1,30933,10,27839.7
OI0000247,ORD000101,PROD0368,1,45046,20,36036.8
OI0000248,ORD000101,PROD0018,3,43511,20,104426.4
OI0000249,ORD000102,PROD0070,2,5741,10,10333.8
OI0000250,ORD000102,PROD0372,2,30393,15,51668.1
OI0000251,ORD000102,PROD0422,1,6200,20,4960.0
OI0000252,ORD000103,PROD0191,3,15295,0,45885.0
OI0000253,ORD000103,PROD0418,1,25146,0,25146.0
OI0000254,ORD000104,PROD0252,2,47274,0,94548.0
OI0000255,ORD000104,PROD0236,2,864,0,1728.0
OI0000256,ORD000104,PROD0385,2,24887,0,49774.0
OI0000257,ORD000105,PROD0357,3,12603,10,34028.1
OI0000258,ORD000106,PROD0473,1,7148,0,7148.0
OI0000259,ORD000107,PROD0350,3,30270,20,72648.0
OI0000260,ORD000107,PROD0342,3,22038,20,52891.2
OI0000261,ORD000107,PROD0398,1,49624,20,39699.2
OI0000262,ORD000108,PROD0121,2,44879,10,80782.2
OI0000263,ORD000108,PROD0451,3,10189,5,29038.65
OI0000264,ORD000108,PROD0069,1,47858,10,43072.2
OI0000265,ORD000108,PROD0125,1,1064,5,1010.8
OI0000266,ORD000109,PROD0476,3,48975,15,124886.25
OI0000267,ORD000110,PROD0172,1,48340,20,38672.0
OI0000268,ORD000110,PROD0216,1,13578,15,11541.3
OI0000269,ORD000110,PROD0193,3,39676,20,95222.4
OI0000270,ORD000110,PROD0183,2,33918,15,57660.6
OI0000271,ORD000111,PROD0478,3,41663,0,124989.0
OI0000272,ORD000111,PROD0112,1,19641,5,18658.95
OI0000273,ORD000111,PROD0466,1,20585,10,18526.5
OI0000274,ORD000112,PROD0213,2,15658,5,29750.2
OI0000275,ORD000113,PROD0379,2,16741,5,31807.9
OI0000276,ORD000113,PROD0232,2,29455,15,50073.5
OI0000277,ORD000113,PROD0394,3,3378,15,8613.9
OI0000278,ORD000113,PROD0343,1,25020,0,25020.0
OI0000279,ORD000114,PROD0095,2,1525,15,2592.5
OI0000280,ORD000115,PROD0248,1,42695,15,36290.75
OI0000281,ORD000116,PROD0228,1,40155,5,38147.25
OI0000282,ORD000117,PROD0159,1,17897,0,17897.0
OI0000283,ORD000117,PROD0215,2,5033,10,9059.4
OI0000284,ORD000117,PROD0213,1,29237,0,29237.0
OI0000285,ORD000117,PROD0412,3,15972,10,43124.4
OI0000286,ORD000118,PROD0101,3,42472,10,114674.4
OI0000287,ORD000118,PROD0065,3,18548,0,55644.0
OI0000288,ORD000118,PROD0099,3,49109,10,132594.3
OI0000289,ORD000119,PROD0293,3,42318,20,101563.2
OI0000290,ORD000119,PROD0105,2,47604,0,95208.0
OI0000291,ORD000119,PROD0316,1,12362,10,11125.8
OI0000292,ORD000119,PROD0138,3,43420,0,130260.0
OI0000293,ORD000120,PROD0043,1,21962,20,17569.6
OI0000294,ORD000121,PROD0064,3,35097,20,84232.8
OI0000295,ORD000121,PROD0089,1,45663,20,36530.4
OI0000296,ORD000121,PROD0088,3,10534,20,25281.6
OI0000297,ORD000121,PROD0398,1,40081,15,34068.85
OI0000298,ORD000122,PROD0321,1,24141,10,21726.9
OI0000299,ORD000122,PROD0380,3,40362,0,121086.0
OI0000300,ORD000122,PROD0125,1,37651,20,30120.8
OI0000301,ORD000122,PROD0267,3,23759,20,57021.6
OI0000302,ORD000123,PROD0220,3,23034,5,65646.9
OI0000303,ORD000123,PROD0197,3,33759,5,96213.15
OI0000304,ORD000124,PROD0299,3,16608,10,44841.6
OI0000305,ORD000124,PROD0054,3,19307,15,49232.85
OI0000306,ORD000124,PROD0220,2,31751,15,53976.7
OI0000307,ORD000124,PROD0392,3,28194,0,84582.0
OI0000308,ORD000125,PROD0306,3,41411,15,105598.05
OI0000309,ORD000125,PROD0176,3,23559,15,60075.45
OI0000310,ORD000125,PROD0028,2,7525,15,12792.5
OI0000311,ORD000125,PROD0452,1,19356,20,15484.8
OI0000312,ORD000126,PROD0098,2,21140,10,38052.0
OI0000313,ORD000127,PROD0166,2,27375,0,54750.0
OI0000314,ORD000127,PROD0205,2,30663,0,61326.0
OI0000315,ORD000127,PROD0316,3,43895,5,125100.75
OI0000316,ORD000128,PROD0267,1,24791,10,22311.9
OI0000317,ORD000128,PROD0388,3,25331,10,68393.7
OI0000318,ORD000128,PROD0185,3,7639,0,22917.0
OI0000319,ORD000128,PROD0447,2,45709,15,77705.3
OI0000320,ORD000129,PROD0225,1,23566,0,23566.0
OI0000321,ORD000129,PROD0044,3,2442,15,6227.1
OI0000322,ORD000129,PROD0102,2,41573,20,66516.8
OI0000323,ORD000130,PROD0231,2,22117,5,42022.3
OI0000324,ORD000130,PROD0296,2,49546,10,89182.8
OI0000325,ORD000130,PROD0447,1,37931,5,36034.45
OI0000326,ORD000130,PROD0284,2,19506,10,35110.8
OI0000327,ORD000131,PROD0026,2,33566,20,53705.6
OI0000328,ORD000131,PROD0375,1,33575,20,26860.0
OI0000329,ORD000131,PROD0463,1,47127,10,42414.3
OI0000330,ORD000131,PROD0151,1,25946,15,22054.1
OI0000331,ORD000132,PROD0388,1,42046,20,33636.8
OI0000332,ORD000133,PROD0402,3,27833,20,66799.2
OI0000333,ORD000133,PROD0281,3,46508,20,111619.2
OI0000334,ORD000133,PROD0490,3,17316,5,49350.6
OI0000335,ORD000134,PROD0384,3,31445,0,94335.0
OI0000336,ORD000134,PROD0388,3,40376,5,115071.6
OI0000337,ORD000134,PROD0177,3,47330,20,113592.0
OI0000338,ORD000135,PROD0490,3,48463,10,130850.1
OI0000339,ORD000135,PROD0402,3,43281,0,129843.0
OI0000340,ORD000135,PROD0299,2,22339,5,42444.1
OI0000341,ORD000135,PROD0365,1,12812,20,10249.6
OI0000342,ORD000136,PROD0394,3,7539,0,22617.0
OI0000343,ORD000136,PROD0406,1,49879,20,39903.2
OI0000344,ORD000136,PROD0186,3,12880,20,30912.0
OI0000345,ORD000136,PROD0437,3,33219,20,79725.6
OI0000346,ORD000137,PROD0213,2,7106,15,12080.2
OI0000347,ORD000137,PROD0422,1,23918,0,23918.0
OI0000348,ORD000137,PROD0184,3,24124,15,61516.2
OI0000349,ORD000138,PROD0128,1,21405,20,17124.0
OI0000350,ORD000138,PROD0230,2,1483,15,2521.1
OI0000351,ORD000139,PROD0473,3,45782,10,123611.4
OI0000352,ORD000139,PROD0109,2,36553,0,73106.0
OI0000353,ORD000139,PROD0038,3,13657,0,40971.0
OI0000354,ORD000140,PROD0239,3,30871,5,87982.35
OI0000355,ORD000140,PROD0282,1,9385,0,9385.0
OI0000356,ORD000140,PROD0114,1,1449,20,1159.2
OI0000357,ORD000141,PROD0358,1,16939,20,13551.2
OI0000358,ORD000142,PROD0010,3,7321,0,21963.0
OI0000359,ORD000142,PROD0435,3,20613,10,55655.1
OI0000360,ORD000142,PROD0269,3,44851,20,107642.4
OI0000361,ORD000142,PROD0027,1,33247,10,29922.3
OI0000362,ORD000143,PROD0047,1,17256,0,17256.0
OI0000363,ORD000143,PROD0019,1,46228,0,46228.0
OI0000364,ORD000143,PROD0401,3,24162,15,61613.1
OI0000365,ORD000143,PROD0456,3,32100,20,77040.0
OI0000366,ORD000144,PROD0209,3,49986,0,149958.0
OI0000367,ORD000144,PROD0252,1,43019,15,36566.15
OI0000368,ORD000144,PROD0204,1,11129,20,8903.2
OI0000369,ORD000145,PROD0238,2,13156,10,23680.8
OI0000370,ORD000145,PROD0185,3,47946,5,136646.1
OI0000371,ORD000145,PROD0442,2,35222,0,70444.0
OI0000372,ORD000146,PROD0433,3,27580,5,78603.0
OI0000373,ORD000146,PROD0048,2,15041,15,25569.7
OI0000374,ORD000147,PROD0450,1,11604,0,11604.0
OI0000375,ORD000147,PROD0473,3,32723,5,93260.55
OI0000376,ORD000147,PROD0411,1,35379,10,31841.1
OI0000377,ORD000147,PROD0374,1,12190,20,9752.0
OI0000378,ORD000148,PROD0371,1,39722,5,37735.9
OI0000379,ORD000148,PROD0072,3,9271,20,22250.4
OI0000380,ORD000149,PROD0072,2,23752,10,42753.6
OI0000381,ORD000149,PROD0470,1,428,20,342.4
OI0000382,ORD000149,PROD0116,1,2848,20,2278.4
OI0000383,ORD000150,PROD0061,2,15534,15,26407.8
OI0000384,ORD000151,PROD0234,1,13435,5,12763.25
OI0000385,ORD000151,PROD0006,1,12363,15,10508.55
OI0000386,ORD000151,PROD0478,3,48800,20,117120.0
OI0000387,ORD000151,PROD0156,2,4579,5,8700.1
OI0000388,ORD000152,PROD0167,2,37745,20,60392.0
OI0000389,ORD000152,PROD0035,1,13838,0,13838.0
OI0000390,ORD000152,PROD0201,3,34358,10,92766.6
OI0000391,ORD000152,PROD0293,1,23368,20,18694.4
OI0000392,ORD000153,PROD0422,3,40718,0,122154.0
OI0000393,ORD000153,PROD0414,2,22389,20,35822.4
OI0000394,ORD000154,PROD0352,2,35224,5,66925.6
OI0000395,ORD000154,PROD0286,3,3501,20,8402.4
OI0000396,ORD000154,PROD0001,2,37200,10,66960.0
OI0000397,ORD000154,PROD0292,2,8363,15,14217.1
OI0000398,ORD000155,PROD0068,3,13734,10,37081.8
OI0000399,ORD000156,PROD0161,2,40450,5,76855.0
OI0000400,ORD000156,PROD0478,1,30101,15,25585.85
OI0000401,ORD000156,PROD0226,3,11815,15,30128.25
OI0000402,ORD000156,PROD0143,3,35757,15,91180.35
OI0000403,ORD000157,PROD0059,1,32995,5,31345.25
OI0000404,ORD000158,PROD0209,3,20352,15,51897.6
OI0000405,ORD000158,PROD0295,2,29690,20,47504.0
OI0000406,ORD000158,PROD0072,3,23980,5,68343.0
OI0000407,ORD000159,PROD0377,2,19289,20,30862.4
OI0000408,ORD000159,PROD0380,3,9865,10,26635.5
OI0000409,ORD000159,PROD0377,3,35161,0,105483.0
OI0000410,ORD000160,PROD0071,1,6931,10,6237.9
OI0000411,ORD000160,PROD0403,1,12761,20,10208.8
OI0000412,ORD000160,PROD0176,1,35971,15,30575.35
OI0000413,ORD000160,PROD0310,3,13714,15,34970.7
OI0000414,ORD000161,PROD0176,2,11813,5,22444.7
OI0000415,ORD000161,PROD0315,2,22988,20,36780.8
OI0000416,ORD000161,PROD0305,3,6757,10,18243.9
OI0000417,ORD000162,PROD0288,2,18137,15,30832.9
OI0000418,ORD000162,PROD0344,2,24134,20,38614.4
OI0000419,ORD000162,PROD0448,1,25397,0,25397.0
OI0000420,ORD000162,PROD0358,1,15695,10,14125.5
OI0000421,ORD000163,PROD0097,1,12815,5,12174.25
OI0000422,ORD000164,PROD0400,3,36928,5,105244.8
OI0000423,ORD000164,PROD0124,2,26321,20,42113.6
OI0000424,ORD000164,PROD0488,2,15843,20,25348.8
OI0000425,ORD000165,PROD0005,3,29804,0,89412.0
OI0000426,ORD000165,PROD0360,1,35308,10,31777.2
OI0000427,ORD000165,PROD0209,1,19894,10,17904.6
OI0000428,ORD000166,PROD0036,3,11663,15,29740.65
OI0000429,ORD000166,PROD0208,2,23978,20,38364.8
OI0000430,ORD000166,PROD0371,1,32335,20,25868.0
OI0000431,ORD000166,PROD0065,3,40784,15,103999.2
OI0000432,ORD000167,PROD0012,3,47203,20,113287.2
OI0000433,ORD000167,PROD0471,3,21388,15,54539.4
OI0000434,ORD000167,PROD0020,1,5028,5,4776.6
OI0000435,ORD000168,PROD0066,1,27165,10,24448.5
OI0000436,ORD000169,PROD0335,2,49444,15,84054.8
OI0000437,ORD000169,PROD0200,3,39323,15,100273.65
OI0000438,ORD000170,PROD0441,3,45058,5,128415.3
OI0000439,ORD000170,PROD0065,2,26509,5,50367.1
OI0000440,ORD000170,PROD0011,1,34983,5,33233.85
OI0000441,ORD000170,PROD0159,1,16028,20,12822.4
OI0000442,ORD000171,PROD0488,2,27755,5,52734.5
OI0000443,ORD000172,PROD0256,1,27754,5,26366.3
OI0000444,ORD000172,PROD0042,1,39935,5,37938.25
OI0000445,ORD000172,PROD0298,3,37503,15,95632.65
OI0000446,ORD000173,PROD0430,3,18233,0,54699.0
OI0000447,ORD000173,PROD0135,1,48727,20,38981.6
OI0000448,ORD000173,PROD0278,3,22037,5,62805.45
OI0000449,ORD000173,PROD0083,3,11492,20,27580.8
OI0000450,ORD000174,PROD0200,2,43024,0,86048.0
OI0000451,ORD000174,PROD0070,2,16135,10,29043.0
OI0000452,ORD000175,PROD0205,3,23133,0,69399.0
OI0000453,ORD000175,PROD0211,3,4319,20,10365.6
OI0000454,ORD000175,PROD0240,1,24523,15,20844.55
OI0000455,ORD000175,PROD0208,3,49874,5,142140.9
OI0000456,ORD000176,PROD0286,1,31276,5,29712.2
OI0000457,ORD000177,PROD0399,3,45184,0,135552.0
OI0000458,ORD000178,PROD0374,3,22618,0,67854.0
OI0000459,ORD000178,PROD0041,1,9906,10,8915.4
OI0000460,ORD000178,PROD0276,1,33025,10,29722.5
OI0000461,ORD000178,PROD0075,2,13570,0,27140.0
OI0000462,ORD000179,PROD0044,3,30933,15,78879.15
OI0000463,ORD000180,PROD0350,3,35176,20,84422.4
OI0000464,ORD000180,PROD0178,1,49732,15,42272.2
