Shipment_ID,Order_ID,Courier,Shipment_Date,Delivery_Date,Delivery_Status
SHP000167,ORD000167,XpressBees,2025-06-15,2025-06-18,Delivered
SHP000168,ORD000168,Ekart,2025-02-20,2025-02-26,Delivered
SHP000169,ORD000169,BlueDart,2025-03-29,2025-04-01,Delivered
SHP000170,ORD000170,Amazon Logistics,2025-03-13,2025-03-18,Delivered
SHP000171,ORD000171,XpressBees,2025-01-17,2025-01-21,Delivered
SHP000172,ORD000172,BlueDart,2025-05-12,,Processing
SHP000173,ORD000173,Ekart,2025-01-21,,Pending
SHP000174,ORD000174,Delhivery,2025-05-05,,Cancelled
SHP000175,ORD000175,Delhivery,2025-01-22,2025-01-26,Delivered
SHP000176,ORD000176,DTDC,2025-01-12,2025-01-18,Delivered
SHP000177,ORD000177,DTDC,2025-03-25,2025-03-29,Delivered
SHP000178,ORD000178,BlueDart,2025-05-22,2025-05-24,Delivered
SHP000179,ORD000179,Delhivery,2025-05-06,2025-05-08,Delivered
SHP000180,ORD000180,DTDC,2025-02-13,,Shipped
SHP000181,ORD000181,XpressBees,2025-02-04,,Shipped
SHP000182,ORD000182,DTDC,2025-02-15,,Shipped
SHP000183,ORD000183,Delhivery,2025-04-05,,Processing
SHP000184,ORD000184,Delhivery,2025-03-16,,Shipped
SHP000185,ORD000185,Amazon Logistics,2025-01-27,2025-02-01,Delivered
SHP000186,ORD000186,XpressBees,2025-05-03,,Shipped
SHP000187,ORD000187,XpressBees,2025-07-01,2025-07-06,Delivered
SHP000188,ORD000188,XpressBees,2025-03-20,,Cancelled
SHP000189,ORD000189,DTDC,2025-01-08,2025-01-12,Delivered
SHP000190,ORD000190,Delhivery,2025-02-07,2025-02-12,Delivered
SHP000191,ORD000191,DTDC,2025-06-27,2025-06-30,Delivered
SHP000192,ORD000192,Ekart,2025-04-23,2025-04-29,Delivered
SHP000193,ORD000193,Ekart,2025-05-14,,Processing
SHP000194,ORD000194,Ekart,2025-04-05,2025-04-08,Delivered
SHP000195,ORD000195,XpressBees,2025-03-31,2025-04-05,Delivered
SHP000196,ORD000196,Delhivery,2025-03-04,,Processing
SHP000197,ORD000197,XpressBees,2025-03-17,2025-03-20,Delivered
SHP000198,ORD000198,Amazon Logistics,2025-04-14,2025-04-17,Delivered
SHP000199,ORD000199,DTDC,2025-03-25,,Cancelled
SHP000200,ORD000200,Ekart,2025-05-03,2025-05-06,Delivered
SHP000201,ORD000201,Ekart,2025-06-07,2025-06-13,Delivered
SHP000202,ORD000202,Ekart,2025-01-19,,Processing
SHP000203,ORD000203,Delhivery,2025-03-28,,Shipped
SHP000204,ORD000204,XpressBees,2025-05-05,2025-05-10,Delivered
SHP000205,ORD000205,Ekart,2025-05-22,,Shipped
SHP000206,ORD000206,XpressBees,2025-03-24,2025-03-29,Delivered
SHP000207,ORD000207,Amazon Logistics,2025-06-24,,Pending
SHP000208,ORD000208,DTDC,2025-05-17,2025-05-20,Delivered
SHP000209,ORD000209,XpressBees,2025-06-02,2025-06-05,Delivered
SHP000210,ORD000210,BlueDart,2025-05-21,2025-05-24,Delivered
SHP000211,ORD000211,Ekart,2025-05-12,,Processing
SHP000212,ORD000212,Delhivery,2025-03-26,2025-03-29,Delivered
SHP000213,ORD000213,BlueDart,2025-05-25,2025-05-29,Delivered
SHP000214,ORD000214,DTDC,2025-02-02,2025-02-07,Delivered
SHP000215,ORD000215,BlueDart,2025-03-17,2025-03-21,Delivered
SHP000216,ORD000216,BlueDart,2025-03-21,,Pending
SHP000217,ORD000217,XpressBees,2025-06-19,,Pending
SHP000218,ORD000218,DTDC,2025-06-29,2025-07-01,Delivered
SHP000219,ORD000219,XpressBees,2025-01-31,,Shipped
SHP000220,ORD000220,BlueDart,2025-03-01,,Cancelled
SHP000221,ORD000221,XpressBees,2025-02-11,2025-02-15,Delivered
SHP000222,ORD000222,BlueDart,2025-02-01,2025-02-05,Delivered
SHP000223,ORD000223,XpressBees,2025-04-18,2025-04-23,Delivered
SHP000224,ORD000224,Ekart,2025-05-04,,Pending
SHP000225,ORD000225,Amazon Logistics,2025-05-03,2025-05-09,Delivered
SHP000226,ORD000226,Ekart,2025-06-04,,Shipped
SHP000227,ORD000227,Ekart,2025-05-14,2025-05-19,Delivered
SHP000228,ORD000228,Delhivery,2025-05-17,2025-05-19,Delivered
SHP000229,ORD000229,XpressBees,2025-03-31,2025-04-03,Delivered
SHP000230,ORD000230,XpressBees,2025-03-02,,Shipped
SHP000231,ORD000231,DTDC,2025-06-05,2025-06-09,Delivered
SHP000232,ORD000232,BlueDart,2025-04-02,2025-04-08,Delivered
SHP000233,ORD000233,Amazon Logistics,2025-03-22,2025-03-26,Delivered
SHP000234,ORD000234,Ekart,2025-03-30,2025-04-02,Delivered
SHP000235,ORD000235,Ekart,2025-06-05,,Pending
SHP000236,ORD000236,DTDC,2025-04-06,2025-04-08,Delivered
SHP000237,ORD000237,Delhivery,2025-05-24,2025-05-29,Delivered
SHP000238,ORD000238,Delhivery,2025-07-01,2025-07-03,Delivered
SHP000239,ORD000239,Ekart,2025-04-27,2025-04-29,Delivered
SHP000240,ORD000240,DTDC,2025-01-17,2025-01-21,Delivered
SHP000241,ORD000241,BlueDart,2025-04-27,2025-04-29,Delivered
SHP000242,ORD000242,DTDC,2025-04-09,2025-04-14,Delivered
SHP000243,ORD000243,Delhivery,2025-03-05,2025-03-11,Delivered
SHP000244,ORD000244,DTDC,2025-06-02,2025-06-08,Delivered
SHP000245,ORD000245,Delhivery,2025-04-10,2025-04-16,Delivered
SHP000246,ORD000246,BlueDart,2025-02-13,,Processing
SHP000247,ORD000247,DTDC,2025-01-28,2025-01-31,Delivered
SHP000248,ORD000248,Delhivery,2025-04-23,2025-04-27,Delivered
SHP000249,ORD000249,Ekart,2025-03-11,2025-03-17,Delivered
SHP000250,ORD000250,XpressBees,2025-06-08,2025-06-11,Delivered
SHP000251,ORD000251,Ekart,2025-02-01,,Shipped
SHP000252,ORD000252,XpressBees,2025-04-16,2025-04-19,Delivered
SHP000253,ORD000253,BlueDart,2025-02-25,2025-02-27,Delivered
SHP000254,ORD000254,DTDC,2025-02-02,2025-02-04,Delivered
SHP000255,ORD000255,BlueDart,2025-06-26,2025-07-01,Delivered
SHP000256,ORD000256,Ekart,2025-04-13,,Processing
SHP000257,ORD000257,Ekart,2025-06-10,2025-06-14,Delivered
SHP000258,ORD000258,Amazon Logistics,2025-04-10,2025-04-16,Delivered
SHP000259,ORD000259,BlueDart,2025-03-12,,Processing
SHP000260,ORD000260,Ekart,2025-04-04,,Processing
SHP000261,ORD000261,Ekart,2025-04-18,2025-04-23,Delivered
SHP000262,ORD000262,Ekart,2025-02-19,,Shipped
SHP000263,ORD000263,Amazon Logistics,2025-04-25,2025-04-28,Delivered
SHP000264,ORD000264,Ekart,2025-04-01,2025-04-05,Delivered
SHP000265,ORD000265,BlueDart,2025-01-03,2025-01-07,Delivered
SHP000266,ORD000266,XpressBees,2025-06-27,,Shipped
SHP000267,ORD000267,Ekart,2025-06-18,,Cancelled
SHP000268,ORD000268,Delhivery,2025-03-09,2025-03-14,Delivered
SHP000269,ORD000269,Delhivery,2025-06-03,2025-06-07,Delivered
SHP000270,ORD000270,Delhivery,2025-06-02,,Pending
SHP000271,ORD000271,Amazon Logistics,2025-02-06,,Pending
SHP000272,ORD000272,DTDC,2025-04-19,2025-04-22,Delivered
SHP000273,ORD000273,Delhivery,2025-02-08,2025-02-13,Delivered
SHP000274,ORD000274,Amazon Logistics,2025-06-27,2025-06-30,Delivered
SHP000275,ORD000275,Delhivery,2025-06-16,2025-06-18,Delivered
SHP000276,ORD000276,XpressBees,2025-01-29,2025-02-03,Delivered
SHP000277,ORD000277,Amazon Logistics,2025-02-16,2025-02-20,Delivered
SHP000278,ORD000278,Delhivery,2025-06-12,2025-06-16,Delivered
SHP000279,ORD000279,XpressBees,2025-02-04,2025-02-06,Delivered
SHP000280,ORD000280,XpressBees,2025-06-26,2025-07-01,Delivered
SHP000281,ORD000281,Ekart,2025-02-26,2025-03-02,Delivered
SHP000282,ORD000282,Amazon Logistics,2025-02-09,2025-02-14,Delivered
SHP000283,ORD000283,XpressBees,2025-02-04,,Processing
SHP000284,ORD000284,BlueDart,2025-03-24,2025-03-26,Delivered
SHP000285,ORD000285,XpressBees,2025-06-14,,Shipped
SHP000286,ORD000286,DTDC,2025-05-21,,Shipped
SHP000287,ORD000287,Amazon Logistics,2025-03-26,,Cancelled
SHP000288,ORD000288,DTDC,2025-02-13,2025-02-17,Delivered
SHP000289,ORD000289,Amazon Logistics,2025-04-12,2025-04-18,Delivered
SHP000290,ORD000290,DTDC,2025-05-15,,Shipped
SHP000291,ORD000291,Ekart,2025-02-09,2025-02-15,Delivered
SHP000292,ORD000292,XpressBees,2025-03-17,2025-03-21,Delivered
SHP000293,ORD000293,DTDC,2025-06-16,2025-06-21,Delivered
SHP000294,ORD000294,Delhivery,2025-03-18,2025-03-22,Delivered
SHP000295,ORD000295,Amazon Logistics,2025-06-25,,Pending
SHP000296,ORD000296,DTDC,2025-01-09,2025-01-14,Delivered
SHP000297,ORD000297,BlueDart,2025-05-14,2025-05-17,Delivered
SHP000298,ORD000298,Amazon Logistics,2025-05-13,,Processing
SHP000299,ORD000299,Ekart,2025-04-30,,Processing
SHP000300,ORD000300,DTDC,2025-06-08,2025-06-11,Delivered
SHP000301,ORD000301,Ekart,2025-06-26,2025-07-01,Delivered
SHP000302,ORD000302,Delhivery,2025-05-05,,Shipped
SHP000303,ORD000303,XpressBees,2025-02-18,2025-02-20,Delivered
SHP000304,ORD000304,DTDC,2025-03-21,2025-03-27,Delivered
SHP000305,ORD000305,Ekart,2025-01-31,,Shipped
SHP000306,ORD000306,BlueDart,2025-02-22,2025-02-25,Delivered
SHP000307,ORD000307,DTDC,2025-01-16,2025-01-21,Delivered
SHP000308,ORD000308,BlueDart,2025-04-20,,Shipped
SHP000309,ORD000309,Amazon Logistics,2025-04-10,2025-04-12,Delivered
SHP000310,ORD000310,XpressBees,2025-01-06,2025-01-12,Delivered
SHP000311,ORD000311,XpressBees,2025-01-28,2025-01-30,Delivered
SHP000312,ORD000312,DTDC,2025-06-12,,Processing
SHP000313,ORD000313,Ekart,2025-07-01,2025-07-07,Delivered
SHP000314,ORD000314,DTDC,2025-03-21,,Processing
SHP000315,ORD000315,Delhivery,2025-06-05,2025-06-07,Delivered
SHP000316,ORD000316,Ekart,2025-01-19,2025-01-22,Delivered
SHP000317,ORD000317,XpressBees,2025-04-28,,Shipped
SHP000318,ORD000318,Delhivery,2025-04-23,2025-04-27,Delivered
SHP000319,ORD000319,BlueDart,2025-01-25,,Shipped
SHP000320,ORD000320,XpressBees,2025-03-27,2025-04-02,Delivered
SHP000321,ORD000321,Delhivery,2025-05-03,2025-05-06,Delivered
SHP000322,ORD000322,Amazon Logistics,2025-02-04,2025-02-07,Delivered
SHP000323,ORD000323,Ekart,2025-04-26,2025-04-29,Delivered
SHP000324,ORD000324,BlueDart,2025-02-17,2025-02-21,Delivered
SHP000325,ORD000325,Amazon Logistics,2025-02-11,2025-02-15,Delivered
SHP000326,ORD000326,BlueDart,2025-05-24,2025-05-26,Delivered
SHP000327,ORD000327,Amazon Logistics,2025-03-06,,Shipped
SHP000328,ORD000328,BlueDart,2025-02-27,2025-03-03,Delivered
SHP000329,ORD000329,Ekart,2025-04-08,2025-04-10,Delivered
SHP000330,ORD000330,Ekart,2025-01-11,,Cancelled
SHP000331,ORD000331,Amazon Logistics,2025-02-13,2025-02-18,Delivered
SHP000332,ORD000332,DTDC,2025-03-14,,Cancelled
SHP000333,ORD000333,Delhivery,2025-02-09,,Cancelled
SHP000334,ORD000334,Delhivery,2025-04-10,2025-04-12,Delivered
SHP000335,ORD000335,BlueDart,2025-04-25,2025-04-30,Delivered
SHP000336,ORD000336,Delhivery,2025-04-21,,Processing
SHP000337,ORD000337,Amazon Logistics,2025-06-14,,Shipped
SHP000338,ORD000338,Amazon Logistics,2025-06-01,,Processing
SHP000339,ORD000339,BlueDart,2025-02-21,,Cancelled
SHP000340,ORD000340,DTDC,2025-06-22,2025-06-28,Delivered
SHP000341,ORD000341,Delhivery,2025-04-19,2025-04-22,Delivered
SHP000342,ORD000342,BlueDart,2025-04-14,2025-04-17,Delivered
SHP000343,ORD000343,DTDC,2025-05-19,2025-05-23,Delivered
SHP000344,ORD000344,BlueDart,2025-06-14,2025-06-16,Delivered
SHP000345,ORD000345,DTDC,2025-02-01,2025-02-03,Delivered
SHP000346,ORD000346,DTDC,2025-01-19,,Shipped
SHP000347,ORD000347,Amazon Logistics,2025-02-27,2025-03-01,Delivered
SHP000348,ORD000348,Delhivery,2025-01-06,2025-01-11,Delivered
SHP000349,ORD000349,Ekart,2025-02-26,2025-03-02,Delivered
SHP000350,ORD000350,Delhivery,2025-02-08,,Cancelled
SHP000351,ORD000351,Amazon Logistics,2025-03-22,2025-03-28,Delivered
SHP000352,ORD000352,BlueDart,2025-02-22,,Pending
SHP000353,ORD000353,XpressBees,2025-03-18,2025-03-21,Delivered
SHP000354,ORD000354,Ekart,2025-06-29,,Shipped
SHP000355,ORD000355,DTDC,2025-06-03,2025-06-08,Delivered
SHP000356,ORD000356,Amazon Logistics,2025-02-23,,Shipped
SHP000357,ORD000357,XpressBees,2025-05-17,,Pending
SHP000358,ORD000358,Ekart,2025-06-10,2025-06-15,Delivered
SHP000359,ORD000359,Delhivery,2025-02-15,2025-02-20,Delivered
SHP000360,ORD000360,BlueDart,2025-05-04,2025-05-06,Delivered
SHP000361,ORD000361,BlueDart,2025-06-13,,Processing
SHP000362,ORD000362,DTDC,2025-04-29,2025-05-04,Delivered
SHP000363,ORD000363,Ekart,2025-05-21,,Shipped
SHP000364,ORD000364,Delhivery,2025-03-16,,Shipped
SHP000365,ORD000365,XpressBees,2025-06-06,2025-06-11,Delivered
SHP000366,ORD000366,Delhivery,2025-05-20,2025-05-22,Delivered
SHP000367,ORD000367,DTDC,2025-04-29,,Cancelled
SHP000368,ORD000368,Amazon Logistics,2025-06-13,,Processing
SHP000369,ORD000369,DTDC,2025-04-07,2025-04-10,Delivered
SHP000370,ORD000370,Amazon Logistics,2025-06-30,,Shipped
SHP000371,ORD000371,DTDC,2025-05-23,,Processing
SHP000372,ORD000372,Ekart,2025-01-20,,Processing
SHP000373,ORD000373,Ekart,2025-01-05,2025-01-08,Delivered
SHP000374,ORD000374,DTDC,2025-04-26,2025-04-29,Delivered
SHP000375,ORD000375,DTDC,2025-04-12,2025-04-17,Delivered
SHP000376,ORD000376,Delhivery,2025-03-17,,Processing
SHP000377,ORD000377,BlueDart,2025-01-23,2025-01-25,Delivered
SHP000378,ORD000378,BlueDart,2025-05-29,2025-06-01,Delivered
SHP000379,ORD000379,XpressBees,2025-06-27,2025-07-02,Delivered
SHP000380,ORD000380,XpressBees,2025-03-23,,Shipped
SHP000381,ORD000381,Delhivery,2025-04-09,2025-04-15,Delivered
SHP000382,ORD000382,Ekart,2025-02-15,2025-02-21,Delivered
SHP000383,ORD000383,BlueDart,2025-03-10,,Pending
SHP000384,ORD000384,Ekart,2025-04-04,2025-04-06,Delivered
SHP000385,ORD000385,XpressBees,2025-02-16,2025-02-22,Delivered
SHP000386,ORD000386,Ekart,2025-03-11,2025-03-13,Delivered
SHP000387,ORD000387,XpressBees,2025-02-14,2025-02-19,Delivered
SHP000388,ORD000388,Amazon Logistics,2025-03-01,,Shipped
SHP000389,ORD000389,XpressBees,2025-02-03,2025-02-05,Delivered
SHP000390,ORD000390,BlueDart,2025-05-25,,Processing
SHP000391,ORD000391,Delhivery,2025-06-29,,Processing
SHP000392,ORD000392,Amazon Logistics,2025-03-04,,Processing
SHP000393,ORD000393,BlueDart,2025-06-30,2025-07-03,Delivered
SHP000394,ORD000394,Ekart,2025-02-21,2025-02-27,Delivered
SHP000395,ORD000395,DTDC,2025-03-11,2025-03-17,Delivered
SHP000396,ORD000396,Ekart,2025-04-29,2025-05-05,Delivered
SHP000397,ORD000397,Amazon Logistics,2025-05-31,,Shipped
