Product_ID,Product_Name,Category_ID,Supplier_ID,Brand,Cost_Price,Selling_Price,Weight
PROD0054,Product 54,CAT014,SUP054,Brand9,24505,25005,1.5
PROD0055,Product 55,CAT015,SUP055,Brand10,6485,6985,1.5
PROD0056,Product 56,CAT016,SUP056,Brand11,35996,36496,1.5
PROD0057,Product 57,CAT017,SUP057,Brand12,46768,47268,1.5
PROD0058,Product 58,CAT018,SUP058,Brand13,4214,4714,1.5
PROD0059,Product 59,CAT019,SUP059,Brand14,37086,37586,1.5
PROD0060,Product 60,CAT020,SUP060,Brand0,4006,4506,1.5
PROD0061,Product 61,CAT001,SUP061,Brand1,40667,41167,1.5
PROD0062,Product 62,CAT002,SUP062,Brand2,13597,14097,1.5
PROD0063,Product 63,CAT003,SUP063,Brand3,32633,33133,1.5
PROD0064,Product 64,CAT004,SUP064,Brand4,44690,45190,1.5
PROD0065,Product 65,CAT005,SUP065,Brand5,34946,35446,1.5
PROD0066,Product 66,CAT006,SUP066,Brand6,28122,28622,1.5
PROD0067,Product 67,CAT007,SUP067,Brand7,20687,21187,1.5
PROD0068,Product 68,CAT008,SUP068,Brand8,30613,31113,1.5
PROD0069,Product 69,CAT009,SUP069,Brand9,38475,38975,1.5
PROD0070,Product 70,CAT010,SUP070,Brand10,29799,30299,1.5
PROD0071,Product 71,CAT011,SUP071,Brand11,23796,24296,1.5
PROD0072,Product 72,CAT012,SUP072,Brand12,19745,20245,1.5
PROD0073,Product 73,CAT013,SUP073,Brand13,16380,16880,1.5
PROD0074,Product 74,CAT014,SUP074,Brand14,11881,12381,1.5
PROD0075,Product 75,CAT015,SUP075,Brand0,45909,46409,1.5
PROD0076,Product 76,CAT016,SUP076,Brand1,16097,16597,1.5
PROD0077,Product 77,CAT017,SUP077,Brand2,5464,5964,1.5
PROD0078,Product 78,CAT018,SUP078,Brand3,37745,38245,1.5
PROD0079,Product 79,CAT019,SUP079,Brand4,19777,20277,1.5
PROD0080,Product 80,CAT020,SUP080,Brand5,34519,35019,1.5
PROD0081,Product 81,CAT001,SUP081,Brand6,32547,33047,1.5
PROD0082,Product 82,CAT002,SUP082,Brand7,22610,23110,1.5
PROD0083,Product 83,CAT003,SUP083,Brand8,47904,48404,1.5
PROD0084,Product 84,CAT004,SUP084,Brand9,29514,30014,1.5
PROD0085,Product 85,CAT005,SUP085,Brand10,18970,19470,1.5
PROD0086,Product 86,CAT006,SUP086,Brand11,40008,40508,1.5
PROD0087,Product 87,CAT007,SUP087,Brand12,4897,5397,1.5
PROD0088,Product 88,CAT008,SUP088,Brand13,7837,8337,1.5
PROD0089,Product 89,CAT009,SUP089,Brand14,33650,34150,1.5
PROD0090,Product 90,CAT010,SUP090,Brand0,27502,28002,1.5
PROD0091,Product 91,CAT011,SUP091,Brand1,10910,11410,1.5
PROD0092,Product 92,CAT012,SUP092,Brand2,49719,50219,1.5
PROD0093,Product 93,CAT013,SUP093,Brand3,22516,23016,1.5
PROD0094,Product 94,CAT014,SUP094,Brand4,10060,10560,1.5
PROD0095,Product 95,CAT015,SUP095,Brand5,32144,32644,1.5
PROD0096,Product 96,CAT016,SUP096,Brand6,27736,28236,1.5
PROD0097,Product 97,CAT017,SUP097,Brand7,2669,3169,1.5
PROD0098,Product 98,CAT018,SUP098,Brand8,43892,44392,1.5
PROD0099,Product 99,CAT019,SUP099,Brand9,5186,5686,1.5
PROD0100,Product 100,CAT020,SUP100,Brand10,36674,37174,1.5
PROD0101,Product 101,CAT001,SUP001,Brand11,37653,38153,1.5
PROD0102,Product 102,CAT002,SUP002,Brand12,20661,21161,1.5
PROD0103,Product 103,CAT003,SUP003,Brand13,22390,22890,1.5
PROD0104,Product 104,CAT004,SUP004,Brand14,45666,46166,1.5
PROD0105,Product 105,CAT005,SUP005,Brand0,23049,23549,1.5
PROD0106,Product 106,CAT006,SUP006,Brand1,39052,39552,1.5
PROD0107,Product 107,CAT007,SUP007,Brand2,32650,33150,1.5
PROD0108,Product 108,CAT008,SUP008,Brand3,38104,38604,1.5
PROD0109,Product 109,CAT009,SUP009,Brand4,29997,30497,1.5
PROD0110,Product 110,CAT010,SUP010,Brand5,4606,5106,1.5
PROD0111,Product 111,CAT011,SUP011,Brand6,6233,6733,1.5
PROD0112,Product 112,CAT012,SUP012,Brand7,17790,18290,1.5
PROD0113,Product 113,CAT013,SUP013,Brand8,31170,31670,1.5
PROD0114,Product 114,CAT014,SUP014,Brand9,45781,46281,1.5
PROD0115,Product 115,CAT015,SUP015,Brand10,43625,44125,1.5
PROD0116,Product 116,CAT016,SUP016,Brand11,4359,4859,1.5
PROD0117,Product 117,CAT017,SUP017,Brand12,4076,4576,1.5
PROD0118,Product 118,CAT018,SUP018,Brand13,48017,48517,1.5
PROD0119,Product 119,CAT019,SUP019,Brand14,46072,46572,1.5
PROD0120,Product 120,CAT020,SUP020,Brand0,20390,20890,1.5
PROD0121,Product 121,CAT001,SUP021,Brand1,42510,43010,1.5
PROD0122,Product 122,CAT002,SUP022,Brand2,37976,38476,1.5
PROD0123,Product 123,CAT003,SUP023,Brand3,44745,45245,1.5
PROD0124,Product 124,CAT004,SUP024,Brand4,29305,29805,1.5
PROD0125,Product 125,CAT005,SUP025,Brand5,18751,19251,1.5
PROD0126,Product 126,CAT006,SUP026,Brand6,47064,47564,1.5
PROD0127,Product 127,CAT007,SUP027,Brand7,25383,25883,1.5
PROD0128,Product 128,CAT008,SUP028,Brand8,43920,44420,1.5
PROD0129,Product 129,CAT009,SUP029,Brand9,22841,23341,1.5
PROD0130,Product 130,CAT010,SUP030,Brand10,1578,2078,1.5
PROD0131,Product 131,CAT011,SUP031,Brand11,30357,30857,1.5
PROD0132,Product 132,CAT012,SUP032,Brand12,23395,23895,1.5
PROD0133,Product 133,CAT013,SUP033,Brand13,11113,11613,1.5
PROD0134,Product 134,CAT014,SUP034,Brand14,40137,40637,1.5
PROD0135,Product 135,CAT015,SUP035,Brand0,7773,8273,1.5
PROD0136,Product 136,CAT016,SUP036,Brand1,32454,32954,1.5
PROD0137,Product 137,CAT017,SUP037,Brand2,3963,4463,1.5
PROD0138,Product 138,CAT018,SUP038,Brand3,14400,14900,1.5
PROD0139,Product 139,CAT019,SUP039,Brand4,18937,19437,1.5
PROD0140,Product 140,CAT020,SUP040,Brand5,8576,9076,1.5
PROD0141,Product 141,CAT001,SUP041,Brand6,48489,48989,1.5
PROD0142,Product 142,CAT002,SUP042,Brand7,16327,16827,1.5
PROD0143,Product 143,CAT003,SUP043,Brand8,26176,26676,1.5
PROD0144,Product 144,CAT004,SUP044,Brand9,25721,26221,1.5
PROD0145,Product 145,CAT005,SUP045,Brand10,32639,33139,1.5
PROD0146,Product 146,CAT006,SUP046,Brand11,5380,5880,1.5
PROD0147,Product 147,CAT007,SUP047,Brand12,11002,11502,1.5
PROD0148,Product 148,CAT008,SUP048,Brand13,29537,30037,1.5
PROD0149,Product 149,CAT009,SUP049,Brand14,26422,26922,1.5
PROD0150,Product 150,CAT010,SUP050,Brand0,36108,36608,1.5
PROD0151,Product 151,CAT011,SUP051,Brand1,18308,18808,1.5
PROD0152,Product 152,CAT012,SUP052,Brand2,9073,9573,1.5
PROD0153,Product 153,CAT013,SUP053,Brand3,28314,28814,1.5
PROD0154,Product 154,CAT014,SUP054,Brand4,36159,36659,1.5
PROD0155,Product 155,CAT015,SUP055,Brand5,18346,18846,1.5
PROD0156,Product 156,CAT016,SUP056,Brand6,46394,46894,1.5
PROD0157,Product 157,CAT017,SUP057,Brand7,27316,27816,1.5
PROD0158,Product 158,CAT018,SUP058,Brand8,23612,24112,1.5
PROD0159,Product 159,CAT019,SUP059,Brand9,44842,45342,1.5
PROD0160,Product 160,CAT020,SUP060,Brand10,25032,25532,1.5
PROD0161,Product 161,CAT001,SUP061,Brand11,15222,15722,1.5
PROD0162,Product 162,CAT002,SUP062,Brand12,9990,10490,1.5
PROD0163,Product 163,CAT003,SUP063,Brand13,5538,6038,1.5
PROD0164,Product 164,CAT004,SUP064,Brand14,11648,12148,1.5
PROD0165,Product 165,CAT005,SUP065,Brand0,10015,10515,1.5
PROD0166,Product 166,CAT006,SUP066,Brand1,15301,15801,1.5
PROD0167,Product 167,CAT007,SUP067,Brand2,43256,43756,1.5
PROD0168,Product 168,CAT008,SUP068,Brand3,15391,15891,1.5
PROD0169,Product 169,CAT009,SUP069,Brand4,890,1390,1.5
PROD0170,Product 170,CAT010,SUP070,Brand5,31882,32382,1.5
PROD0171,Product 171,CAT011,SUP071,Brand6,38708,39208,1.5
PROD0172,Product 172,CAT012,SUP072,Brand7,12050,12550,1.5
PROD0173,Product 173,CAT013,SUP073,Brand8,17319,17819,1.5
PROD0174,Product 174,CAT014,SUP074,Brand9,18576,19076,1.5
PROD0175,Product 175,CAT015,SUP075,Brand10,368,868,1.5
PROD0176,Product 176,CAT016,SUP076,Brand11,9647,10147,1.5
PROD0177,Product 177,CAT017,SUP077,Brand12,27556,28056,1.5
PROD0178,Product 178,CAT018,SUP078,Brand13,35134,35634,1.5
PROD0179,Product 179,CAT019,SUP079,Brand14,24299,24799,1.5
PROD0180,Product 180,CAT020,SUP080,Brand0,40064,40564,1.5
PROD0181,Product 181,CAT001,SUP081,Brand1,37215,37715,1.5
PROD0182,Product 182,CAT002,SUP082,Brand2,20980,21480,1.5
PROD0183,Product 183,CAT003,SUP083,Brand3,8324,8824,1.5
PROD0184,Product 184,CAT004,SUP084,Brand4,45352,45852,1.5
PROD0185,Product 185,CAT005,SUP085,Brand5,33883,34383,1.5
PROD0186,Product 186,CAT006,SUP086,Brand6,40574,41074,1.5
PROD0187,Product 187,CAT007,SUP087,Brand7,43023,43523,1.5
PROD0188,Product 188,CAT008,SUP088,Brand8,44415,44915,1.5
PROD0189,Product 189,CAT009,SUP089,Brand9,48582,49082,1.5
PROD0190,Product 190,CAT010,SUP090,Brand10,3638,4138,1.5
PROD0191,Product 191,CAT011,SUP091,Brand11,30026,30526,1.5
PROD0192,Product 192,CAT012,SUP092,Brand12,44702,45202,1.5
PROD0193,Product 193,CAT013,SUP093,Brand13,36752,37252,1.5
PROD0194,Product 194,CAT014,SUP094,Brand14,25814,26314,1.5
PROD0195,Product 195,CAT015,SUP095,Brand0,26187,26687,1.5
PROD0196,Product 196,CAT016,SUP096,Brand1,26247,26747,1.5
PROD0197,Product 197,CAT017,SUP097,Brand2,25929,26429,1.5
PROD0198,Product 198,CAT018,SUP098,Brand3,6885,7385,1.5
PROD0199,Product 199,CAT019,SUP099,Brand4,31657,32157,1.5
PROD0200,Product 200,CAT020,SUP100,Brand5,41668,42168,1.5
PROD0201,Product 201,CAT001,SUP001,Brand6,26343,26843,1.5
PROD0202,Product 202,CAT002,SUP002,Brand7,4179,4679,1.5
PROD0203,Product 203,CAT003,SUP003,Brand8,12591,13091,1.5
PROD0204,Product 204,CAT004,SUP004,Brand9,4513,5013,1.5
PROD0205,Product 205,CAT005,SUP005,Brand10,13781,14281,1.5
PROD0206,Product 206,CAT006,SUP006,Brand11,28976,29476,1.5
PROD0207,Product 207,CAT007,SUP007,Brand12,10736,11236,1.5
PROD0208,Product 208,CAT008,SUP008,Brand13,7304,7804,1.5
PROD0209,Product 209,CAT009,SUP009,Brand14,22385,22885,1.5
PROD0210,Product 210,CAT010,SUP010,Brand0,39469,39969,1.5
PROD0211,Product 211,CAT011,SUP011,Brand1,3545,4045,1.5
PROD0212,Product 212,CAT012,SUP012,Brand2,6809,7309,1.5
PROD0213,Product 213,CAT013,SUP013,Brand3,115,615,1.5
PROD0214,Product 214,CAT014,SUP014,Brand4,37244,37744,1.5
PROD0215,Product 215,CAT015,SUP015,Brand5,10013,10513,1.5
PROD0216,Product 216,CAT016,SUP016,Brand6,35267,35767,1.5
PROD0217,Product 217,CAT017,SUP017,Brand7,6749,7249,1.5
PROD0218,Product 218,CAT018,SUP018,Brand8,23929,24429,1.5
PROD0219,Product 219,CAT019,SUP019,Brand9,40321,40821,1.5
PROD0220,Product 220,CAT020,SUP020,Brand10,1771,2271,1.5
PROD0221,Product 221,CAT001,SUP021,Brand11,4708,5208,1.5
PROD0222,Product 222,CAT002,SUP022,Brand12,13728,14228,1.5
PROD0223,Product 223,CAT003,SUP023,Brand13,40343,40843,1.5
PROD0224,Product 224,CAT004,SUP024,Brand14,24756,25256,1.5
PROD0225,Product 225,CAT005,SUP025,Brand0,9835,10335,1.5
PROD0226,Product 226,CAT006,SUP026,Brand1,41676,42176,1.5
PROD0227,Product 227,CAT007,SUP027,Brand2,16631,17131,1.5
PROD0228,Product 228,CAT008,SUP028,Brand3,22866,23366,1.5
PROD0229,Product 229,CAT009,SUP029,Brand4,39570,40070,1.5
PROD0230,Product 230,CAT010,SUP030,Brand5,23965,24465,1.5
PROD0231,Product 231,CAT011,SUP031,Brand6,31173,31673,1.5
PROD0232,Product 232,CAT012,SUP032,Brand7,8150,8650,1.5
PROD0233,Product 233,CAT013,SUP033,Brand8,7659,8159,1.5
PROD0234,Product 234,CAT014,SUP034,Brand9,32086,32586,1.5
PROD0235,Product 235,CAT015,SUP035,Brand10,30639,31139,1.5
PROD0236,Product 236,CAT016,SUP036,Brand11,31583,32083,1.5
PROD0237,Product 237,CAT017,SUP037,Brand12,31808,32308,1.5
PROD0238,Product 238,CAT018,SUP038,Brand13,20537,21037,1.5
PROD0239,Product 239,CAT019,SUP039,Brand14,5728,6228,1.5
PROD0240,Product 240,CAT020,SUP040,Brand0,9544,10044,1.5
PROD0241,Product 241,CAT001,SUP041,Brand1,6796,7296,1.5
PROD0242,Product 242,CAT002,SUP042,Brand2,49230,49730,1.5
PROD0243,Product 243,CAT003,SUP043,Brand3,22554,23054,1.5
PROD0244,Product 244,CAT004,SUP044,Brand4,48619,49119,1.5
PROD0245,Product 245,CAT005,SUP045,Brand5,17451,17951,1.5
PROD0246,Product 246,CAT006,SUP046,Brand6,31466,31966,1.5
PROD0247,Product 247,CAT007,SUP047,Brand7,45454,45954,1.5
PROD0248,Product 248,CAT008,SUP048,Brand8,10680,11180,1.5
PROD0249,Product 249,CAT009,SUP049,Brand9,33938,34438,1.5
PROD0250,Product 250,CAT010,SUP050,Brand10,1613,2113,1.5
PROD0251,Product 251,CAT011,SUP051,Brand11,13548,14048,1.5
PROD0252,Product 252,CAT012,SUP052,Brand12,34719,35219,1.5
PROD0253,Product 253,CAT013,SUP053,Brand13,23807,24307,1.5
PROD0254,Product 254,CAT014,SUP054,Brand14,9707,10207,1.5
PROD0255,Product 255,CAT015,SUP055,Brand0,45324,45824,1.5
PROD0256,Product 256,CAT016,SUP056,Brand1,35697,36197,1.5
PROD0257,Product 257,CAT017,SUP057,Brand2,1872,2372,1.5
PROD0258,Product 258,CAT018,SUP058,Brand3,49785,50285,1.5
PROD0259,Product 259,CAT019,SUP059,Brand4,34710,35210,1.5
PROD0260,Product 260,CAT020,SUP060,Brand5,19635,20135,1.5
PROD0261,Product 261,CAT001,SUP061,Brand6,42234,42734,1.5
PROD0262,Product 262,CAT002,SUP062,Brand7,6064,6564,1.5
PROD0263,Product 263,CAT003,SUP063,Brand8,45725,46225,1.5
PROD0264,Product 264,CAT004,SUP064,Brand9,17212,17712,1.5
PROD0265,Product 265,CAT005,SUP065,Brand10,34073,34573,1.5
PROD0266,Product 266,CAT006,SUP066,Brand11,24132,24632,1.5
PROD0267,Product 267,CAT007,SUP067,Brand12,11047,11547,1.5
PROD0268,Product 268,CAT008,SUP068,Brand13,23410,23910,1.5
PROD0269,Product 269,CAT009,SUP069,Brand14,14700,15200,1.5
PROD0270,Product 270,CAT010,SUP070,Brand0,35003,35503,1.5
PROD0271,Product 271,CAT011,SUP071,Brand1,35592,36092,1.5
PROD0272,Product 272,CAT012,SUP072,Brand2,33044,33544,1.5
PROD0273,Product 273,CAT013,SUP073,Brand3,21704,22204,1.5
PROD0274,Product 274,CAT014,SUP074,Brand4,41809,42309,1.5
PROD0275,Product 275,CAT015,SUP075,Brand5,14717,15217,1.5
PROD0276,Product 276,CAT016,SUP076,Brand6,40288,40788,1.5
PROD0277,Product 277,CAT017,SUP077,Brand7,49797,50297,1.5
PROD0278,Product 278,CAT018,SUP078,Brand8,12889,13389,1.5
PROD0279,Product 279,CAT019,SUP079,Brand9,15788,16288,1.5
PROD0280,Product 280,CAT020,SUP080,Brand10,26359,26859,1.5
PROD0281,Product 281,CAT001,SUP081,Brand11,48588,49088,1.5
PROD0282,Product 282,CAT002,SUP082,Brand12,14959,15459,1.5
PROD0283,Product 283,CAT003,SUP083,Brand13,13201,13701,1.5
PROD0284,Product 284,CAT004,SUP084,Brand14,34023,34523,1.5
PROD0285,Product 285,CAT005,SUP085,Brand0,32394,32894,1.5
PROD0286,Product 286,CAT006,SUP086,Brand1,23402,23902,1.5
PROD0287,Product 287,CAT007,SUP087,Brand2,48007,48507,1.5
PROD0288,Product 288,CAT008,SUP088,Brand3,1999,2499,1.5
PROD0289,Product 289,CAT009,SUP089,Brand4,1930,2430,1.5
PROD0290,Product 290,CAT010,SUP090,Brand5,18411,18911,1.5
PROD0291,Product 291,CAT011,SUP091,Brand6,31048,31548,1.5
PROD0292,Product 292,CAT012,SUP092,Brand7,17085,17585,1.5
PROD0293,Product 293,CAT013,SUP093,Brand8,12790,13290,1.5
PROD0294,Product 294,CAT014,SUP094,Brand9,45485,45985,1.5
PROD0295,Product 295,CAT015,SUP095,Brand10,39758,40258,1.5
PROD0296,Product 296,CAT016,SUP096,Brand11,22662,23162,1.5
PROD0297,Product 297,CAT017,SUP097,Brand12,29409,29909,1.5
PROD0298,Product 298,CAT018,SUP098,Brand13,47490,47990,1.5
PROD0299,Product 299,CAT019,SUP099,Brand14,23006,23506,1.5
PROD0300,Product 300,CAT020,SUP100,Brand0,23996,24496,1.5
PROD0301,Product 301,CAT001,SUP001,Brand1,5378,5878,1.5
PROD0302,Product 302,CAT002,SUP002,Brand2,14548,15048,1.5
PROD0303,Product 303,CAT003,SUP003,Brand3,6794,7294,1.5
PROD0304,Product 304,CAT004,SUP004,Brand4,14966,15466,1.5
PROD0305,Product 305,CAT005,SUP005,Brand5,30907,31407,1.5
PROD0306,Product 306,CAT006,SUP006,Brand6,12991,13491,1.5
PROD0307,Product 307,CAT007,SUP007,Brand7,22233,22733,1.5
PROD0308,Product 308,CAT008,SUP008,Brand8,13493,13993,1.5
PROD0309,Product 309,CAT009,SUP009,Brand9,31731,32231,1.5
PROD0310,Product 310,CAT010,SUP010,Brand10,40998,41498,1.5
PROD0311,Product 311,CAT011,SUP011,Brand11,40094,40594,1.5
PROD0312,Product 312,CAT012,SUP012,Brand12,225,725,1.5
PROD0313,Product 313,CAT013,SUP013,Brand13,31522,32022,1.5
PROD0314,Product 314,CAT014,SUP014,Brand14,42893,43393,1.5
PROD0315,Product 315,CAT015,SUP015,Brand0,22644,23144,1.5
PROD0316,Product 316,CAT016,SUP016,Brand1,42248,42748,1.5
PROD0317,Product 317,CAT017,SUP017,Brand2,5656,6156,1.5
PROD0318,Product 318,CAT018,SUP018,Brand3,43392,43892,1.5
PROD0319,Product 319,CAT019,SUP019,Brand4,7958,8458,1.5
PROD0320,Product 320,CAT020,SUP020,Brand5,25563,26063,1.5
PROD0321,Product 321,CAT001,SUP021,Brand6,46728,47228,1.5
PROD0322,Product 322,CAT002,SUP022,Brand7,49261,49761,1.5
PROD0323,Product 323,CAT003,SUP023,Brand8,13162,13662,1.5
PROD0324,Product 324,CAT004,SUP024,Brand9,31428,31928,1.5
PROD0325,Product 325,CAT005,SUP025,Brand10,11799,12299,1.5
PROD0326,Product 326,CAT006,SUP026,Brand11,28537,29037,1.5
PROD0327,Product 327,CAT007,SUP027,Brand12,41770,42270,1.5
PROD0328,Product 328,CAT008,SUP028,Brand13,21891,22391,1.5
PROD0329,Product 329,CAT009,SUP029,Brand14,5785,6285,1.5
PROD0330,Product 330,CAT010,SUP030,Brand0,47405,47905,1.5
PROD0331,Product 331,CAT011,SUP031,Brand1,26041,26541,1.5
PROD0332,Product 332,CAT012,SUP032,Brand2,30453,30953,1.5
PROD0333,Product 333,CAT013,SUP033,Brand3,26405,26905,1.5
PROD0334,Product 334,CAT014,SUP034,Brand4,48816,49316,1.5
PROD0335,Product 335,CAT015,SUP035,Brand5,5665,6165,1.5
PROD0336,Product 336,CAT016,SUP036,Brand6,47600,48100,1.5
PROD0337,Product 337,CAT017,SUP037,Brand7,10510,11010,1.5
PROD0338,Product 338,CAT018,SUP038,Brand8,11241,11741,1.5
PROD0339,Product 339,CAT019,SUP039,Brand9,8425,8925,1.5
PROD0340,Product 340,CAT020,SUP040,Brand10,1905,2405,1.5
PROD0341,Product 341,CAT001,SUP041,Brand11,10005,10505,1.5
PROD0342,Product 342,CAT002,SUP042,Brand12,38819,39319,1.5
PROD0343,Product 343,CAT003,SUP043,Brand13,30597,31097,1.5
PROD0344,Product 344,CAT004,SUP044,Brand14,43082,43582,1.5
PROD0345,Product 345,CAT005,SUP045,Brand0,9679,10179,1.5
PROD0346,Product 346,CAT006,SUP046,Brand1,40180,40680,1.5
PROD0347,Product 347,CAT007,SUP047,Brand2,39150,39650,1.5
PROD0348,Product 348,CAT008,SUP048,Brand3,31187,31687,1.5
PROD0349,Product 349,CAT009,SUP049,Brand4,43174,43674,1.5
PROD0350,Product 350,CAT010,SUP050,Brand5,23064,23564,1.5
PROD0351,Product 351,CAT011,SUP051,Brand6,10317,10817,1.5
PROD0352,Product 352,CAT012,SUP052,Brand7,36056,36556,1.5
PROD0353,Product 353,CAT013,SUP053,Brand8,36032,36532,1.5
PROD0354,Product 354,CAT014,SUP054,Brand9,8684,9184,1.5
PROD0355,Product 355,CAT015,SUP055,Brand10,1502,2002,1.5
PROD0356,Product 356,CAT016,SUP056,Brand11,1033,1533,1.5
PROD0357,Product 357,CAT017,SUP057,Brand12,47703,48203,1.5
PROD0358,Product 358,CAT018,SUP058,Brand13,42677,43177,1.5
PROD0359,Product 359,CAT019,SUP059,Brand14,6835,7335,1.5
PROD0360,Product 360,CAT020,SUP060,Brand0,34610,35110,1.5
PROD0361,Product 361,CAT001,SUP061,Brand1,49218,49718,1.5
PROD0362,Product 362,CAT002,SUP062,Brand2,9225,9725,1.5
PROD0363,Product 363,CAT003,SUP063,Brand3,28530,29030,1.5
PROD0364,Product 364,CAT004,SUP064,Brand4,12866,13366,1.5
PROD0365,Product 365,CAT005,SUP065,Brand5,13930,14430,1.5
PROD0366,Product 366,CAT006,SUP066,Brand6,1934,2434,1.5
PROD0367,Product 367,CAT007,SUP067,Brand7,16604,17104,1.5
PROD0368,Product 368,CAT008,SUP068,Brand8,14044,14544,1.5
PROD0369,Product 369,CAT009,SUP069,Brand9,19299,19799,1.5
PROD0370,Product 370,CAT010,SUP070,Brand10,32944,33444,1.5
PROD0371,Product 371,CAT011,SUP071,Brand11,15863,16363,1.5
PROD0372,Product 372,CAT012,SUP072,Brand12,38532,39032,1.5
PROD0373,Product 373,CAT013,SUP073,Brand13,21464,21964,1.5
PROD0374,Product 374,CAT014,SUP074,Brand14,17097,17597,1.5
PROD0375,Product 375,CAT015,SUP075,Brand0,35774,36274,1.5
PROD0376,Product 376,CAT016,SUP076,Brand1,27560,28060,1.5
PROD0377,Product 377,CAT017,SUP077,Brand2,8690,9190,1.5
PROD0378,Product 378,CAT018,SUP078,Brand3,4091,4591,1.5
PROD0379,Product 379,CAT019,SUP079,Brand4,48591,49091,1.5
PROD0380,Product 380,CAT020,SUP080,Brand5,23285,23785,1.5
PROD0381,Product 381,CAT001,SUP081,Brand6,30126,30626,1.5
PROD0382,Product 382,CAT002,SUP082,Brand7,43515,44015,1.5
PROD0383,Product 383,CAT003,SUP083,Brand8,38330,38830,1.5
PROD0384,Product 384,CAT004,SUP084,Brand9,33966,34466,1.5
PROD0385,Product 385,CAT005,SUP085,Brand10,27666,28166,1.5
PROD0386,Product 386,CAT006,SUP086,Brand11,32976,33476,1.5
